Buddhist monk's robe	jia-; sha-
planing machine	ba\ochua/ng
policy of nonrecognition	bu\che/ngre\nzhu\/yi\
pour wine	zhuo/
pretty and flirtatious	ya-oya\n; ya-oye\/
prolong	ya/ncha/ng; to prolong: ya/n
publically	go-ngra/n
qualifications	zi-ge
range of peaks	zha\ng
recent	zui\ji\n
regrettably	he\/nyi/ha\n
repentance	hui\/ga\/i; hui\/he\n
result in death	da\/ozhi\si\/wa/ng
ripples	ya\ng
rubbish	fe\iwu\
salvo	li\/pa\o
science editor	<of a publication ke-xue/bia-nji/
sediment	dia\n
seperate	bie/; to seperate: fe-nli/; xi-
share	gu\/; gu\/pia\o; bu\fen; to share: go\ngxia\/ng; go\ng
shoulder emblem	bi\zha-ng
sin	zui\e\; gu-
slight illness	bi\ngto\ng
so much	<that she\nzhi\yu/
sound to call cat	mi-
spendthrift	ba\ijia-zi\/
stage curtain	mu\
stay up late or all night	a/oye\
stoppage	du\/se\
stumble	ba\nda\o; jue/; lie\; tuo/; zhi\; ba\n; pa/nsha-n
summit meeting	sho\/una\/ohui\yi\
sweet given on a happy occasion	<esp. wedding xi\/ta/ng
take into account	gu\ji/
teach someone or learn a lesson	<ie, obtain wisdom from an experience jia\oxun
terribly	ke\/pa\
third month	sa-nyue\
time and again	lu
total	<grand zo\/ngji\; a  total: zo\/ngshu\; qua/nqiu/; qua/nmia\n; zhe\/ngge\; zo\/ngti\/; <amount or value zo\/nge/
transport service	chua/nshu-fu/wu\
try to locate smth	a\ntu/suo\/ji\
unaspirated	bu\so\ngqi\; bu\tu\/qi\
universal resource identifier	to-ngyo\ngzi-yua/nshi/bie/ha\o
upward movement	qi\/lai
venerable	ke\/ji\ng
virtue	me\/ide/; de/; da\ode/
warm	nua\/n; nua\/nhuo/; we-nnua\/n; yu\; huo/; xi-; <welcome, etc re\lie\
well shaped	yu/nche\n
wholesale	du\/n; pi-fa-
withered	dia-o
wrap	ba-o
zinc	xi-n
Buddha	fo/; jia-
Finland	fe-nla/n
Latin language	la-di-ngyu\/
Scotland	su-ge/la/n
abhor	to\nghe\n; xia/ne\
acne	cuo/
affairs	<political, economic, etc. shi\wu\; ca\/i
all over	bia\n
ancient Greece	gu\/xi-la\
apparent	bia\/ogua-n
arrangement	bu\ju/
astonish	ha\i; shi\/chi-ji-ng; to astonish: zhe\nji-ng
auxiliary organizations	bu\/zhu\zu\/zhi-
bankrupt	da\/o
be aware of	zhi-dao
be just like	zhe\ngru/
be used to	xi/gua\n
bemoan	a-ita\n
black-eyed beans	jia-ng
boom	qia/ng; ho-ng; <of a drum do-ng
break into pieces	sui\
buckskin horse	co-ng
cackling sound	ga/
caption	bia-oti/
caught in	<a bad situation xia\nyu/
character string	zi\chua\n
cider	guo\/jiu\/
cloister	si\yua\n
columbium	ke-
comparatively speaking	bi\/jia\oe/rya/n
conference	hui\yi\; hui\wu\; ta/npa\n
contend against	ka\nghe/ng
correspond	<to fu/
creative work	chua\ngzuo\
curly	jua\/nqu\/
data link layer	shu\ju\lia\nlu\ce/ng; zi-lia\olia\njie/ce/ng
deepen	ju\n; she-nhua\; to deepen: jia-she-n
derision	yu/no\ng
differ	xia-ngcha\; bu\yi-; to differ: bu\de\/ng
disdain to do smth	bu\xie\
do a good turn	ba-ngma/ng
drawers	ku\
each country	ge\guo/
eight years	ba-nia/n
empress	nuhua/ng
entrust	tuo-; tuo-fu\; we\/ituo-; to entrust: tuo-; ji\
everywhere	bia\n; da\ochu\
expire	jue/qi\; ma\/nqi-; to expire: qi-ma\/n
faith	<in someone or something xi\nxi-n
feel	ga\/njue/da\o; jue/; suo-; to feel: ga\/n; ga\/nda\o; ga\/njue/; jue/de; chu\; <one's pulse mo-
file allocation table	da\nga\nfe-npe\iqu-
fish	yu/; bu\/yu/; to fish: yu/
fluid infusion	bu\/ye\
forefinger	shi/zhi\/
frame work for silkworms	cu\
furniture	jia-; jia-ju-; huo\/
geography	di\li\/
giver	ze\ngyu/zhe-
golden eagle	dia-o
great cause	da\ye\
gust	zhe\nfe-ng
harmless	wu/ha\i
heart	ne\ixi-n; xi-n; xi-nza\ng; zho-ngxi-n; xio-ng; hua/i
high class hotel	ga-oce/nglugua\/n
homemade	zi\zhi\
human organ	re/nti\/qi\gua-n
illegal drug	fa\ndu/
in all parts of	<a country ge\di\
incense stick	zhu\
infertile	me/iyo\/ushe-ngyu\ne/ngli\
instinct	be\/nne/ng
invade	za\/ige-; to invade: qi-n; ru\qi-n; da\/ji\n; qi-nru\
ivory	xia\ngya/
keep one's mind on something	a-nxi-n
lady	fu-ren; nushi\
laugh	xi-; xia\o; le\
legislative assembly	yi\hui\; yi\yua\n
lightning	sha\/ndia\n; sha\/n
locus	gui\/ji\
loud noise	zha\
mail	yo/ujia\n; yo/u; to mail: ji\
make ready	yu\be\i
mark time	ju-
medical scientist	yi-xue/jia-
midge	me\/ng
mitten	sho\/uta\o
mortar	jiu\
multitude	mi/n; zho\ng
nauseated	e\/
news story	<eg, dispatched over the wire to-ngxu\n
north temperate zone	be\/iwe-nda\i
not simply	bu\da-n
nymph	nushe/n
oil price	yo/ujia\
only natural	da-ngra/n
originality	chua\ngzuo\li\
overplus	yi/ng
parch	ho-ngga-n
pay attention to	li\/hui\; zhu\zho\ng; to pay attention to: zho\ngshi\
performing artist	yi\re/n
picnic	ye\/ca-n
play	mo\/; ju\; xi\ju\; yo/uxi\; bia\/oya\/n; xi\; to play: wanr2; wa/n; wa/n; <a stringed musical instrument with fingers ta/n; <football or soccer ti-; <string instruments la-
poll	<opinion dia\ocha/; to  poll: lu/nxu/n
prawn	xia-
pride	<feel a sense of zi\ha/o
proper functioning	zhe\ngcha/nggo-ngzuo\
pump	ji/to/ng; to pump: cho-u; <water ji-
quick	kua\i; xu\n; jie/; su\
rate	lu; bi\/lu; de\/ngji/; su\du\; su\lu; <of flow liu/lia\ng
recommendation letter	tui-jia\nxi\n
relate	yo\/ugua-nlia/n; to relate: shu\; <a story or information xu\shu\
representative	da\ibia\/o
return of the prodigal son	ba\izi\/hui/to/u
road one must follow or take	bi\yo/uzhi-lu/
rumbling sound	tia/n
sanitation	we\ishe-ng
scrap	jia\/nba\o; li/ngto/u; ba\ofe\i
seepage	she\nlo\u
serve in the army	fu/yi\
shed the milk teeth	tia/o
shrimp	xia-
sink into	xia\nru\
sly	gui\/; hua/; yi\/nmi\; gui\/; yo/u
soft palate	rua\/ne\
sow discord	ba-nno\ngshi\fe-i
spirited horse	ju\n
stamp	<postage yo/upia\o; yi\n; yi\nzha-ng; ca\/i; da\/o; to stamp: da\/yi\n; <one's feet du\nzu/
steeped in	ya/ngyi\
strand	yi-chua\n; lu
submit	fu/; to submit: che/ng; che/ngdi\; <a report, etc ti/jia-o; <to superiors che/ngqi\/ng
superlative	qi/
swirl	xua\nwo-
take precautions	fa/ngzhi\/
tearing off limbs as punishment	zhe/
thankful	ga\/nxie\
this text	be\/nwe/n
tip of branch	sha-o; mia\/o
towards Taiwan	<policy, etc. dui\ta/i
treat an illness	zhi\bi\ng
turmoil	bia\nlua\n; do\nglua\n
unconscious	shi-qu\yi\shi\
unmoved	bu\do\ngya/o
used to	gua\n
very cold	ha/nle\/ng
vivacious	huo/po
watch carefully	zhu\yi\ka\n
what is your name	gui\xi\ng
wife	qi-; qi-zi; xi/fur; ka\ng; a\iren
wolf	la/ng
write down	ji\za\/i; zha/; to write down: lu\
Adam's apple	ho/ujie/
Central Europe	zho-ngo-u
God of Wealth	ca/ishe/n
Miami Beach	ma\ia-mi\ta-n
Spelling	<eg, Spelling Entertainment Group si-pe\ili/n
about a hundred	ba\/ie/rba-shi/
action	xi/ngwe/i; zuo\yo\ng; xi/ngdo\ng; zuo\we/i; do\ngzuo\
against	ka\o
allotted time	qi-xia\n
angstrom	a-i
applique	bu\/hua-
articles	wu\pi\/n
at intervals of	me\/ige/
awe-inspiring	he\
barley	da\ma\i; mo/u
be critical of	<someone ze/be\i
be of use	di\/ngyo\ng
bear hardship with equanimity	a-nzhi\/ruo\su\
best man	bi-n
bleating of the deer	yo-u
borrow	shi\; da\i; to borrow: zha-i; jie\; jia\/
breathe in	xi-ru\
bully	li\; qi-fu; qi-wu\/; qi-ya-
call attention to	ti/xi\/ng
care for	ca\/i; <affectionately a\ifu\/
ceiling	tia-nhua-ba\/n
cheater	pia\nzi
city	che/ngchi/; che/ngshi\; du-shi\; yi\; che/ng; che/ngzhe\n; shi\; bu\
cloth shoes	bia\nxie/; bu\xie/
come to the surface	bia\/omia\nhua\
complacent	de/yi\
congealed	hu\
contradictory	ma/odu\n; chua\/n
couldn't find	zha\/obu\da\o
crimson silk	chu\
customer premise equipment	yo\nghu\dua-nshe\be\i
day off	<work cha\/ngli\/ba\i
define	xia\di\ngyi\
desperate	<situation we-iji/
dike	di-; di-; we/i
dismount a horse	xia\ma\/
documents	du/
drill for sowing grain	lo/u
earth up	pe/itu\/; pe/i
election	xua\/nju\/
encourage	ji-li\; zha-o; zhu\zha\/ng; to encourage: gu\/li\
equilibrium	pi/nghe/ng
examination	shi\
expression of censure	bia\/nci/
familiar	ni\; mi\qie-
feelers	chu\xu-
filthy	a-ng; a-ng; a-ngza\ng; bu\ga-nbu\ji\ng; za-ng
five days	wu\/tia-n
fog	wu\
forever	yo\/ng; yo\/ngyua\/n; cha/ng
freighter	huo\lu/n
gallium	jia-
get close to someone	qi-nji\n
glimmering	yi/ng
goodlooking	me\/ima\o
grey	hui-; hui-ba/i
half a lifetime	ba\nshe-ng
haunt	chu-mo\
heavy atmosphere	yu-n
high-spirited	a/nga/ng; a/ngya/ng
honourable	che/ngshi/
hundred years	ba\/inia/n
immeasurable	bu\zi-
in general	da\ti\/
incompleted	ba\nba\nla-la-
information system	xi\nxi/xi\to\/ng
intellectual property	zhi\hui\cha\/nqua/n
inviolability	bu\ke\/qi-nfa\nqua/n
jetty	bu\; ji-
kick	jia\/o; chua\i; ti-; to kick: cu\; <as a horse jue/
land-based missle	lu\ji-da\/oda\n
lay equal stress on	bi\ngzho\ng
let down with a rope	zhui\
lineage	xue\to\/ng
lonely	gu-du/; ji\mo\; gu-
low speed	di-su\lu
maintenance costs	we/ichi/fe\i
makeshift road	bia\nda\o
marvel	qi/ji\/ng; qi/shi\
melody	xua/nlu; dia\o
military expenditure	ju-nfe\i
modem	tia/ozhi\jie\/dia\oqi\
motivation	do\ngji-
musician	yi-nyue\jia-
need	ya\oyo\/u; da\i; to need: xu-ya\o; xu-
night	xiu\/; xia-o; ye\; ye\wa\/n; hui\; wa\/n
not as good as	bu\ji/
not too	bu/da\
oblivion	ma/imo\
old-fashioned	guo\shi/
opening ceremony	ka-imu\shi\
other than	yi\/wa\i
own	zi\ji\/; to own: zhu\/; zha\nyo\/u; suo\/yo\/u
part-time work	ba\nzhi/
peach tree	ta/oshu\
perserve	liu/
pillar	di\/nglia/ngzhu\; yi/ng; zhu\; zhu\zi
please oneself	che\/ng
popular will	mi/nyi\
preface and postscript	ti/ba/
prison	jia-nyu\; li/ng; yu\; jia-n
prosperous	cha-ng; cha-ngshe\ng; fa/nro/ng; he-ng; wa\ng; xi-; xi-ngwa\ng; bo/; lo/ngzho\ng
purine in chem. compound	li/ng
race	ji\ngsa\i; zho\/ngzu/; zu/; <of people zho\/ng; zho\/ng
re-	cho/ngxi-n; za\i
red silk	ji\n
relieve uneasiness of body and mind	a-nshe/n
research center	ya/njiu-zho-ngxi-n
revolution	<political ge/mi\ng
roebuck	zha-ng
running hog	tua\n
savory	<of food xia-ng
scurry	ji/zo\/u
sell anything	wu/suo\/bu/ma\i
set up a stall	ba\/ita-nzi\/
shining metal	xia\/n
sicken	shi\/zuo\o\/u
sixty-five years old	liu\shi/wu\/sui\
small private business	<used in mainland China only ge\ti\/hu\
solemn and stirring	be-izhua\ng
sparrow	ma/que\
spokesperson	fa-ya/nre/n
standards-compliant	fu/he/bia-ozhu\/n
step with the right foot	chu\
street	jie-; jie-da\o; ma\/lu\
subtract	jia\/ndia\o; to subtract: jia\/n
supporter	zhi-chi/zhe\/; <person yo-nghu\zhe\/
syndicate	lia/nhe/zu\/zhi-; ba\oxi\
talent and learning	ca/ixue/
telephone equipment	dia\nhua\ji-
theater of operations	<military zha\nqu-
thread spool	xia\nzho\u
to the utmost	be\izhi\; ji\/n
trade protectionism	ma\oyi\ba\/ohu\zhu\/yi\
trials and tribulations	hua\nna\n
tweed	xie/we/nrua\/nni/
understanding	<reach lia\ngjie\/; xi-; li\/jie\/
unripe grain	bi\/
uvula	xia\/oshe/
veteran	la\/obi-ng; la\/ozi-ge; tui\wu\/ju-nre/n
vouch for	da-nba\/o
wave	bo-; bo-la\ng; la\ng; la\ngcha/o; la\ngtou; to wave: wu\/no\ng
whereabouts	xia\luo\; xi/ngzo-ng
will, going to	jia-nghui\
wooden tray	pa/n
xenon	xia-n
Arabic	a-la-bo/
Chinese government	zho-ngguo/zhe\ngfu\/
Hungarian language	xio-ngya/li\yu\/
New Taiwan dollar	ta/ibi\
Tibetan language	za\ngyu\/; za\ngwe/n
absurd statement	bu\ji-ngzhi-ta/n
add to	ze-ngtia-n; jia-yu/
agree with	fu/he/
already in progress	yi\/ji-ngji\nxi/ng
annouce	bu\
aprehensive	we-iju\
as much as possible	ji\/nlia\ng
athletic track	pa\/oda\o
background	be\iji\/ng; be\/ndi\/; di\/
basin	pe/n; shui\/pe/n; <low-lying geographical feature pe/ndi\
be enraged	she-ngqi\; qi\
be precisely the same	ru/chu-yi-zhe/
become bald	tui/
bicycle	zi\xi/ngche-
blood	xie\/; xue\; xue\ye\
boulder	pia-oli\; yua/nshi/tou
brightness of sun	she\ng
burn down	sha-ohui\/
campaign for votes	la-pia\o
carry burden	he\
central bank	zho-ngya-ngyi/nha/ng
cheque	zhi-pia\o
clan	shi\zu/; jia-zu/
coarse greenish black pongee	ti/
commemorate	ji\nia\n
compound final	fu\yu\nmu\/
consciousness	yi\shi\
conversation by writing	bi\/ta/n
course of disease	bi\ngche/ng
crossball	da\n
cuticle	bia\/opi/
dean	yua\nzha\/ng
delicacy	ji-ngzhi\
detective	zhe-nta\n; a\nta/n
dip into water	cui\
disrespectful	bu\go-ng
don't bother to see me out	bu\so\ng
druggist	ya\oji\shi-; ya\oji\shi\; ya\osha-ng
eat ravenously	chua\i
electronics industry	dia\nzi\/go-ngye\
endowment	ca/i
escort the Emperor	ba\/ojia\
excessively praise	bia-oba\/ng
extracurricular	ke\wa\i
farm	no/ngcha\/ng; zhua-ng; zhua-ng; fa\n
ferocious	me\/ng
financial system	ji-nro/ngxi\to\/ng
flask	cha/ngji\/ngpi/ng
fomer Soviet Union	yua/nsu-lia/n
former years	xi-nia/n
frigid	ha/nle\/ng
garment	ju-; yi-zhua-ng; fu/
ghost	gui\/; gui\/hu/n
glowworm	yi/nghuo\/cho/ng
grab	zhua-zhu\; to grab: zhua-; zhuo-; niu\/
groceries	za/huo\
halter	ji-
have confidence in	xi\nre\n
help relieve	<a crisis hua\/njie\/
hire	gu\; gu\; gu\yo\ng; jiu\; yo-ng; zha-osho-u; to hire: lu\; <a lawyer, etc. pi\nqi\/ng
hornless dragon	chi-
husks	bi\/
impeach	he/; ta/n; ta/nhe/
in parentheses	kuo\hu/li\/
indebted	fu\zha\i
iniquitous	xie/
intercommunicate	hu\to-ng
ironware	tie\/qi\
journalists	ba\ojie\
king crab	ho\u
large cake	la\o
leading position	li\/ngxia-ndi\we\i
lever-knife	zha/
list of items	da-nzi; qi-ngda-n
long-tail pheasant	di/
lucky guy	xi\ngyu\ne/r
make a fair copy of	sha\n
man of character	gu/tou
materials	wu\pi\/n
men	na/nre/n
milligram	ha/oke\
mole	<flat wu\; he-izhi\; ya\/n; ya\/nshu/
mourning garments	cui-
myrid	wu\/hua-ba-me/n
neither haughty nor humble	bu\ka\nbu\be-i
no less than	bu\xia\yu/
not clear	bu\mi/ng
nothing more	e/ryi\/
occasion	shi/ji-; cha\/nghe/; cha\/ngmia\n
on the basis of	a\nzha\o
oppress	ya-po\; cuo\
outburst	tu-fa-
pager	hu-jia\oqi\
pass a test	ji/ge/
pegmatite	we\/iji-ngya/n
personality	ge\xi\ng
pistil	ci/rui\/
plug	shua-n; <of tobacco ba\/nya-n
portrayal	re/nwu\mia/oxie\/
prepared	jia-ng
proceed towards	qia/nwa\/ng
proverb	a\nyu\/; che/ngyu\/; ya\n
put a stop to	zhi\zhi\/
radon	do-ng
real situation	zhe-nqi/ng
refined and courteous	bi-nbi-nyo\/uli\/
remnant	li/ng; yi/wu\
resistance	di\/ka\ngli\; di\/zhi\; di\/ka\ng
rice with nothing to go with it	ba/ifa\n
root up	cha\/n
sack cloth	ju-
scandal	cho\/ushi\; cho\/uwe/n
season	ji\
semicolon	fe-nha\o
several kinds	ji\/ya\ng
shoot with unfailing accuracy	ba\/ifa-ba\/izho\ng
sign in despair	a-ishe-ngta\nqi\
skirt	qu/n; qu/nzi
smelt	ye\/; lia\n; ya/ng; ya/ng; to smelt: ro/ng
somewhat	sha-o; yo\/usuo\/
special detachment	bie/do\ngdui\
spring	be-nghua/ng; da\nhua/ng; <season chu-ntia-n; <time chu-n
start out	chu-fa-
still	ji\ng; ji\ngzhi\/; re/ng; re/ngra/n; sha\ng; yi-ra/n; ha/ishi\; mi\; a-n; yo/u; <as of water cha/n; <remaining re/ngjiu\
strip	tia/o; cha/ngtia/o; chi\/; to strip: ba-; <cow luo-; <of bo-duo/
sudden huge profits	ba\oli\
surpass	cha-oguo\; yo-uyu/; cha-o; yi\; to surpass: cha-oyue\; cha-oguo\
tactful	shi/xia\ng; wa\/n
taoist monastery	gua\n
temple	mia\o; she\ngdia\n; si\mia\o; ci/
there is none	wa\/ng
throw away	qi\zhi\; qi\
tone	<friendly or unfriendly>; <of comments ko\/uqi\; <of writing bi\/dia\o; yi-ndia\o; dia\o; she-ng
transact	ba\nli\/
triumphant	ka\/i
two	e\r; shua-ng; <fraudproof e\r
unenlightened	se\; bi\se\
unwelcome	bu\sho\uhua-nyi/ng
valve	ba\nmo/
video conference	yi\/ngxia\nghui\yi\
waive one's right to vote	qi\qua/n
weapon	wu\/qi\; ro/ng
whirlwind	bia-o; bia-o; xua/nfe-ng
wing	bia-nfe-ng; chi\; chi\ba\/ng; yi\; ba\/ng
workers	zhi/go-ng
yellow	hua/ngse\; hua/ng
Baltic Sea	bo-luo/di\ha\/i
Christmas time	she\ngda\njie/
Iran	yi-la\/ng
Oh!	o-
Vietnamese	yue\na/n
accidental	o\/u
administrative level	ce/ngci\
air-raid shelter	ha/o
ambiguous	a\ime\i
antennae	chu\xu-
area of level country	chua-n
ask voters for support	la-pia\o
attempt	qi\/tu/; to attempt: shi\tu/; cha/ngshi\
balance	pi/nghe/ng; <financial cha-e\; <of a watch or clock ba\/ilu/n
battle	zha\ng; do\uzhe-ng; to battle: do\u; zha\ndo\u
be highly successful	da\go-ngga\oche/ng
be situated	<in, at we\iyu/
beeper	hu-jia\oqi\
bin for grain	du\n
blush	ha\ixiu-; na\/n; <deep red to-ngho/ng
boyfriend	na/npe/ngyou; dui\xia\ng
bristles lying down	<brush movement in painting he/ngbi\/
busy	fa/nma/ng; ma/ng; ma/nglu\; zo\/ng; <telephone zha\nxia\n
candidate	ho\uxua\/nre/n
case history	bi\ngli\
chair	yi\/; yi\/zi
childhood	to/ngnia/n
clatter	<of horses' hoofs da-
coffee shop	ka-fe-igua\/n
common border	jia-ojie\
concave	a-o
conspicuous	xia\/n; xia\/nmu\
cookery	pe-ngtia/oshu\
cowardice	da\/nxia\/o
crust	mia\nba-opi/
dairy cow	na\/iniu/
decide judicially	ya\n
demonstrate	shi\fa\n; bia\/oya\/n; to demonstrate: ya\/nshi\; zhe\ng; xia\/nshi\
development process	ka-ifa-guo\che/ng
dirty	a-ng; a-ngza\ng; chuo\; wo\; za-ng; za-ng; za-ngza-ng
distinguishing feature or quality	te\se\
dot	dia\/n
dull	suo\/ra/n; ba\/nzhi\
economist	ji-ngji\xue/jia-; ji-ngji\xue/zhe\/
email	dia\nyo/u
enjoy market dominance	lo\/ngdua\n
ethnicity	zho\/ngzu/
exerpt	zha-ilu\
eyelid	jia\/n; ya\/npi/
father and mother	fu\mu\/
fiber optic	gua-ngxia-n
finger-guessing game	ca-iqua/n
flicker	sha\/nshuo\
footprint	ji-; ji-; jia\/oyi\n; zo-ng
foster	fu/zhi/; ya\/ngyu\; zhu\zha\/ng; bu\/yu\; to foster: fu\/ya\/ng
frozen eggs	bi-ngda\n
gauge	bia-ozhu\/nchi\/cu\n; gui\/ju\
girdle	mo\; shu\ya-o; da\i
go home to visit one's family	ta\nqi-n
grand talents mature slowly	da\qi\wa\/nche/ng
grow vigorously	bo/xi-ng
hang around	la\ngda\ng
have sex appeal	sa-o
hereafter	ci\/ho\u
hog	shi\/; zhu-
hot summer day	shu\/tia-n
ice bag	bi-ngda\i
imply	yi\we\izhe; <that yi\we\i
in the first place	ya\; sho\/uxia-n; ya\
indisposition	bi\ngto\ng
innermost being	ne\ixi-n
international law	guo/ji\fa\/
isle	xia\/oda\/o
jump up	cua-n
knob	ba\/shou
lark	ba\/ili/ng; yu/nque\
learning	xue/shu\; xue/we\n
lie between	jie\
lithium ion battery	li\/li/zi\/dia\nchi/
look like	xia\ng
luxurious	ha/ohua/; fe-i; fe-ife-i
make an all-out effort	qua/nli\yi\/fu\
manipulate	ba\/ibu\
may not be seen by or exposed to	jia\nbude/
merge	he/bi\ng; bi\ngtu-n; to merge: bi\ng
ministry	bu\; mu\shi-zhi-zhi/
monopoly	lo\/ngdua\nfa\nma\i
moviemaking	zhi\pia\n; zhi\pia\nre/n
narrate	xu\; che/n; to narrate: shu\
network infrastructure	wa\/nglu\jia\go\u
node in a network	wa\/ngdia\/n
not have	me/iyo\/u
nuclear bomb	he/ho-ngzha\
of Chinese extraction	xue\to\/ng
one another	bi\/; bi\/ci\/; xia-ng
oral sex	ko\/ujia-o
outright	chu/nshu\/
palm tree	lu
pastry	bo-bo; bi\/nge\/r; dia\/nxi-n; bi\/ng
penetrate deeply	she-nru\
petition	qi\/ngyua\nshu-; to petition: che/ng; <for action to be taken qi\/ngyua\n; <submitted to a superior che/ngwe/n
plague	da\za-i; yi\bi\ng
point out	zhi\/chu-; zhi\/shi\
pot	guo-; hu/; gua\n; a\ng
press down	zhe\n
profit and loss	su\/nyi\; yi/ngkui-
psychological	xi-nli\/
put on record	be\ia\n
rainy	xia\yu\/
reason is very simple	yua/nyi-nhe\/njia\/ndia-n
regain	sho-uhui/; hui-fu\
renowned	da\mi/ngdi\/ngdi\/ng
responsibility	ze/re\n; ze/; zi-; da\n; re\n
righteous	zhe\ngyi\
route step	bia\nbu\zo\/u
safety lamp	a-nqua/nde-ng
schedule	ri\che/ng; shi/jia\nbia\/o
secret society	ba-nghui\
sensation	ho-ngdo\ng; ga\/nqi/ng
shade	yi\n; xiu-; to shade: hua\ng
short term	dua\/nshi/jia-n
silver	ba/iyi/n; yi/n
sled	bi-ngqia-o; xue\/qia\o
snatch	duo/qu\/; duo/; to snatch: zhua-; qia\/ng
sort	ba-n; to sort: ju\n
spectacle	qi/gua-n
squeeze	ya-bia\/n; to squeeze: ji\/
station management	zha\ngua\/nli\/
stomach	we\i; fu\
strongly fortified	bi\le\/ise-nya/n
suitable	he/shi\; shi\da\ng; shi\yi/; qia\da\ng; shi\; yu\/nda\ng; da\ng; de/yi/; yi/; che\n
suspicious	ke\/yi/
take advantage of	che\n; to take advantage of: li\yo\ng
tassel of hat	yi-ng
tennis	wa\/ngqiu/
thickness	ho\udu\
tides	la\ngcha/o
top part of a tablet	be-ie/
transmission control protocol	chua/nshu-ko-ngzhi\xie/di\ng
truly	xu/n; zha/oshi/
ulcerate	kui\la\n
unhealthy	bu\lia/ng
upper	sha\ng; <of a shoe ba-ngzi
vassal state	shu\/guo/
violate a prohibtition or ban	we/iji\n
walnut	hu/ta/o
week	xi-ngqi-
white night	ba/iye\
wise	co-ng; zhe/
worn out old horses	nu/
young of fishes	ku-n
Book of Jeremiah	ye-li\mi\/shu-
East Asia	do-ngya\
Jesus	ye-su-; <Christ ji-du-
Republic of China	zho-nghua/mi/nguo/
World Wide Web	<WWW wa\nwe/itia-nluo/di\wa\/ng; wa\nwe/iwa\/ng
account-book	bu\
advanced weapon	xia-nji\nwu\/qi\
alert signal	ji\/ngba\o
amplify	ya\/n
anyone	re\nre/n
armed rebellion	pa\nlua\n
assets	zi-cha\/n
authentic	que\yo\/uqi/shi\
bamboo shoot	su\/n
be able to take care of	guo\la/i
be in line with	fu/he/
be unable to get something to eat	chi-busha\ng
beginnings	xu\
birthday present	<for an old person sho\uli\/
bond	niu\/da\i; le/i; qua\n; jie-
brand new	zha\/nxi-n
brother	di\xio-ng
by following up a clue	a\ntu/suo\/ji\
canton	ju\n
cat-calling sound	hua/
change of direction	zhua\/nxia\ng
chopped meat or fish	kua\i
client server architecture	ke\hu\du/wu\qu\jie/go\u
collect money	cho/uji/
communications technology	to-ngxi\nji\shu\
conclude	di\ng
consulate	li\/ngshi\gua\/n; shi\/gua\/n
coral	hu/; sha-n; sha-nhu/
crashing sound	hua-
cultivation	ya\/ngzhi/
dark	a\n; he-ia\n; hui\; li/; mi/ng; mi/ng
decompression	<esp. computer jie\/ya-suo-
depend upon	ka\o; qu\/jue/
diaphragm	ge/
discern	shi/bie/; pa\n
divergent	qi/; qi/
drag out	a/i
dustpan	bo\ji-; be\/nji-
effectiveness	xia\oyo\ng
emerald	fe\/icui\
enter oneself for an examination	ba\oka\/o
evening-time	wa\/njia-n
expectation	qi-wa\ng
factory site	cha\/ngzhi\/
feasable	shi\/de
fifth day of a month	wu\/ha\o
firm belief	xi\nya\/ng
flourishing	bo/; fa/n; fa/nhua/
for the past thirty years	sa-nshi/nia/nla/i
fraction	fe-nshu\
functional group	go-ngne/ngqu/n
general or admiral	da\jia\ng
give one's life	she\/she-n
go up	ji-; sha\ngshe-ng; de-ng; to go up: she-ngji/; sha\ng
gratify	shi\/ga-oxi\ng
guess a riddle	ca-ime\ier
hard metals	yu\
head of a committee	we\/iyua/nzha\/ng
hew	ka\/nfa/; to hew: cha/; cha/
hold up	di\/; to hold up: ju\/; <high shu\qi
how about	ze\/nmeya\ng
identity	she-nfe\n
improve relations	ga\/isha\ngua-nxi
in vain	ba/iba/i; wu/xia\o
inefficient	fo\/uyo\/uxia\o
insert	cha-; cha-ru\
interviewer	fa\/ngwe\nzhe\/
it looks all right	bu\ya\oji\/n
justify	bia\njie\/; to justify: yua/n
krypton	ke\
latch on to the rich and powerful	ba\ocu-tui\/
lecture	ba\oga\o
lift off	<a cover jie-
load	da\n; fu\za\i; ba-ofu; to load: zhua-ngru\; zhua-ngza\i; za\i
lose a battle	ba\ibe\/i
magician	mo/shu\shi-; ya-ore/n
make known	bia\/omi/ng; zha-ngya/ng; ba\oga\o; xu\/; to make known: zhu\; jie-shi\; bu\
many times	duo-ci\
